Airport Code,City,State
ADK,Adak Island,AK
ANC,Anchorage,AK
BRW,Barrow,AK
BET,Bethel,AK
CDV,Cordova,AK
FAI,Fairbanks,AK
JNU,Juneau,AK
KTN,Ketchikan,AK
ADQ,Kodiak,AK
OTZ,Kotzebue,AK
OME,Nome,AK
PSG,Petersburg,AK
SCC,Prudhoe Bay/Deadhorse,AK
SIT,Sitka,AK
WRG,Wrangell,AK
YAK,Yakutat,AK
BHM,Birmingham,AL
DHN,Dothan,AL
HSV,Huntsville,AL
MOB,Mobile,AL
MGM,Montgomery,AL
XNA,Fayetteville,AR
FSM,Fort Smith,AR
LIT,Little Rock,AR
TXK,Texarkana,AR
FLG,Flagstaff,AZ
PHX,Phoenix,AZ
PRC,Prescott,AZ
TUS,Tucson,AZ
YUM,Yuma,AZ
PPG,Pago Pago,American Samoa
BFL,Bakersfield,CA
BUR,Burbank,CA
MRY,Carmel/Monterey,CA
ACV,Eureka/Arcata,CA
FAT,Fresno,CA
LGB,Long Beach,CA
LAX,Los Angeles,CA
OAK,Oakland,CA
ONT,Ontario,CA
SNA,Orange County/Santa Ana,CA
PSP,Palm Springs,CA
RDD,Redding,CA
SMF,Sacramento,CA
SAN,San Diego,CA
SFO,San Francisco,CA
SJC,San Jose,CA
SBP,San Luis Obispo,CA
SBA,Santa Barbara,CA
SMX,Santa Maria,CA
STS,Santa Rosa,CA
SCK,Stockton,CA
ASE,Aspen,CO
COS,Colorado Springs,CO
DEN,Denver,CO
DRO,Durango,CO
GJT,Grand Junction,CO
GUC,Gunnison,CO
HDN,Hayden,CO
MTJ,Montrose,CO
PUB,Pueblo,CO
EGE,Vail,CO
BDL,Hartford/Windsor Locks,CT
HVN,New Haven,CT
IAD,Washington - Dulles,DC
DCA,Washington - Reagan National,DC
PIE,Clearwater/St Petersburg,FL
DAB,Daytona Beach,FL
FLL,Fort Lauderdale,FL
RSW,Fort Myers,FL
VPS,Fort Walton Beach/Valparaiso,FL
GNV,Gainesville,FL
JAX,Jacksonville,FL
EYW,Key West,FL
MLB,Melbourne,FL
MIA,Miami,FL
MCO,Orlando,FL
PNS,Pensacola,FL
SRQ,Sarasota,FL
TLH,Tallahassee,FL
TPA,Tampa,FL
PBI,West Palm Beach,FL
ATL,Atlanta,GA
AGS,Augusta,GA
BQK,Brunswick,GA
CSG,Columbus,GA
SAV,Savannah,GA
VLD,Valdosta,GA
GUM,Guam,Guam
ITO,Hilo - Island of Hawaii,HI
HNL,Honolulu - Island of Oahu,HI
OGG,Kahului- Island of Maui,HI
KOA,Kona - Island of Hawaii,HI
LIH,Lihue - Island of Kaui,HI
